series,episode,baker,baker_last_name,baker_age,baker_occupation,hometown,signature_bake,technical,show_stopper,result
6,1,Ian,Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire",Somewhere West of Madeira Cake,8,Black Forest Cherry Tree,IN
6,1,Mat,Riley,37,Fire fighter,London,Gin and Tonic Madeira Cake,7,Black Forest Gateau,IN
6,1,Nadiya,Hussain,30,Full-time mother,Leeds / Luton,Orange and Green Cardamom Madeira Cake,12,Quadruple Chocolate Black Forest Gâteau,IN
6,1,Paul,Jagger,49,Prison governor,"Swansea, Wales","Lemon, Ginger and Caraway Seed Madeira Cake",10,Black Forest Chocolate Creation,IN
6,1,Sandy,Docherty,49,Child welfare officer,"Yeadon, West Yorkshire",Madeira Cake with Almond Liqueur and Chopped Apricots,9,Black Forest Gâteau,IN
6,1,Tamal,Ray,29,Trainee anaesthetist,Manchester,Pistachio and Rose Madeira Cake,4,Black Forest Gâteau in a Chocolate Shell,IN
6,1,Ugnė,Bubnaityte,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",Lemon and Thyme Madeira Cake,1,Falling Cup Gâteau,IN
6,1,Stu,Henshall,35,Professional musician,"Guildford, Surrey",Marley Madeira Cake,11,Purple Forest Gâteau,OUT
6,1,Marie,Campbell,66,Retired,"Auchterarder, Perthshire",Zingy Citrus Madeira Cake,3,A Walk in the Black Forest,STAR BAKER
6,2,Alvin,Magallanes,37,Nurse,"Bracknell, Berkshire","Jackfruit, Pistachio and Macadamia Biscotti",6,Gingerbread Box filled with Brandy Snaps,IN
6,2,Dorret,Conway,53,Accountant,"Penwortham, Lancashire",Almond and Apricot Biscotti with Amber Sugar Crystals,1,Box of Frogs,IN
6,2,Flora,Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross",Wedding Biscotti,2,Honey and Earl Grey Tea Box,IN
6,2,Mat,Riley,37,Fire fighter,London,"Pistachio, Cranberry and White Chocolate Biscotti",5,Gingerbread Fire Engine,IN
6,2,Nadiya,Hussain,30,Full-time mother,Leeds / Luton,"Coconut, Fennel and Pistachio Biscotti",9,Box of Fortunes,IN
6,2,Paul,Jagger,49,Prison governor,"Swansea, Wales","Chocolate, Hazelnut and Fig Biscotti",10,Memory Box,IN
6,2,Sandy,Docherty,49,Child welfare officer,"Yeadon, West Yorkshire",Chocolate Chunk and Hazelnut Biscotti,4,Sundried Tomato Cheese Biscuit Box,IN
6,2,Tamal,Ray,29,Trainee anaesthetist,Manchester,"Cinnamon, Maple and Cranberry Biscotti",8,Chessboard Box,IN
6,2,Ugnė,Bubnaityte,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",White Wine Biscotti,7,Baby Climbing into the Cookie Box,IN
6,2,Marie,Campbell,66,Retired,"Auchterarder, Perthshire",Biscotti Italiano,11,Russian Box,OUT
6,2,Ian,Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire","Orange, Rosemary and Almond Biscotti",3,Sandwich de la Confiture,STAR BAKER
6,2,Stu,Henshall,35,Professional musician,"Guildford, Surrey",NA,NA,NA,NA
6,3,Alvin,Magallanes,37,Nurse,"Bracknell, Berkshire","Prosciutto, Manchego and Balsamic Onion Soda Breads",4,Cornucopia,IN
6,3,Flora,Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross",Fig and Hazelnut Rye Breads,2,Herb Couture,IN
6,3,Mat,Riley,37,Fire fighter,London,"Jalapeño, Mexican Cheddar and Smoked Salt Soda Breads",8,Curry Inspired Brighton Pavilion,IN
6,3,Nadiya,Hussain,30,Full-time mother,Leeds / Luton,Mexican Bread with Warm Tomato Salsa,9,Snake Charmer's Basket,IN
6,3,Paul,Jagger,49,Prison governor,"Swansea, Wales",Cranberry and Orange Sweet Soda Breads,10,King of the Jungle,IN
6,3,Sandy,Docherty,49,Child welfare officer,"Yeadon, West Yorkshire",Soda Breads with Smoked Bacon and Onion,7,Basket of Bread Flowers with a Walnut and Blue Cheese Centre,IN
6,3,Tamal,Ray,29,Trainee anaesthetist,Manchester,"Fig, Cheese and Walnut Breads",3,Breadcycle,IN
6,3,Ugnė,Bubnaityte,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",Chocolate Quick Breads with Salted Caramel Sauce,5,Easter Basket,IN
6,3,Dorret,Conway,53,Accountant,"Penwortham, Lancashire",Walnut and Stilton Soda Breads,6,Unmade Bread,OUT
6,3,Ian,Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire",Wild Garlic Pesto Soda Breads,1,Flour Power,STAR BAKER
6,3,Marie,Campbell,66,Retired,"Auchterarder, Perthshire",NA,NA,NA,NA
6,3,Stu,Henshall,35,Professional musician,"Guildford, Surrey",NA,NA,NA,NA
6,4,Alvin,Magallanes,37,Nurse,"Bracknell, Berkshire",Blackberry Crème Brûlées,9,Tower of Fruits Cheesecakes,IN
6,4,Flora,Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross",Rhubarb and Ginger Crème Brûlées,3,Elderflower and Granola Cheesecakes,IN
6,4,Mat,Riley,37,Fire fighter,London,Coconut Crème Brûlées,7,Chocolate Bar Cheesecakes,IN
6,4,Nadiya,Hussain,30,Full-time mother,Leeds / Luton,Cinnamon Tea Crème Brûlées,8,Fizzy Pop Cheesecakes,IN
6,4,Paul,Jagger,49,Prison governor,"Swansea, Wales",Almond Crème Brûlées,1,Berry Cheesecake Tower,IN
6,4,Tamal,Ray,29,Trainee anaesthetist,Manchester,Rhubarb and Ginger Crème Brûlées,5,"Mango, Hazelnut and Rosemary Cheesecake Trio",IN
6,4,Ugnė,Bubnaityte,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",Marula Fruit and Coffee Liqueur Crème Brûlées,2,"Lime, Coconut and Hazelnut Cheesecakes",IN
6,4,Sandy,Docherty,49,Child welfare officer,"Yeadon, West Yorkshire",Pontefract Crème Brûlées,6,"Cassata, Whisky and Orange & Apple Pie Cheesecakes",OUT
6,4,Ian,Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire",Pomegranate Two Ways Crème Brûlées,4,Trio of Spicy and Herby Baked Cheesecakes,STAR BAKER
6,4,Dorret,Conway,53,Accountant,"Penwortham, Lancashire",NA,NA,NA,NA
6,4,Marie,Campbell,66,Retired,"Auchterarder, Perthshire",NA,NA,NA,NA
6,4,Stu,Henshall,35,Professional musician,"Guildford, Surrey",NA,NA,NA,NA
6,5,Alvin,Magallanes,37,Nurse,"Bracknell, Berkshire",Pineapple Upside Down Cake,8,"Buko Pandan, Mango and Passion Fruit Ice Cream Roll",IN
6,5,Flora,Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross","Pistachio, Apple and Cardamom Madeleine Cake",3,Chocolate and Pear Bûche,IN
6,5,Ian,Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire",Honey and Flowers Cake,5,Dessert Island,IN
6,5,Mat,Riley,37,Fire fighter,London,Sugar Free Carrot Cake,4,Raspberry and Coconut Ice Cream Roll,IN
6,5,Paul,Jagger,49,Prison governor,"Swansea, Wales",Carrot & Pecan Cake,2,Dessert Island Getaway,IN
6,5,Tamal,Ray,29,Trainee anaesthetist,Manchester,Honey and Grapefruit Polenta Cake,7,Passion Fruit and Pineapple Ice Cream Roll,IN
6,5,Ugnė,Bubnaityte,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",Chocolate and Hazelnut Sugar-Free Cake,6,"Chocolate, Peanut Butter and Grape Jam Roll",OUT
6,5,Nadiya,Hussain,30,Full-time mother,Leeds / Luton,Naked Blueberry and Caraway Crunch Cake,1,Chocolate and Strawberry Lime Ice Cream Roll,STAR BAKER
6,5,Dorret,Conway,53,Accountant,"Penwortham, Lancashire",NA,NA,NA,NA
6,5,Marie,Campbell,66,Retired,"Auchterarder, Perthshire",NA,NA,NA,NA
6,5,Sandy,Docherty,49,Child welfare officer,"Yeadon, West Yorkshire",NA,NA,NA,NA
6,5,Stu,Henshall,35,Professional musician,"Guildford, Surrey",NA,NA,NA,NA
6,6,Flora,Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross",Apricot and Rosemary Frangipane Tart,2,Asparagus and Parma Ham and Praline and Chocolate Vol-au-vents,IN
6,6,Ian,Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire",Pear and Raspberry Frangipane Tart,3,vol-au-vents Terre et Mer,IN
6,6,Nadiya,Hussain,30,Full-time mother,Leeds / Luton,"Bay Leaf, Rong Tea and Pear Tart",4,Bengali Korma and Clementine with Cod Vol-au-vents,IN
6,6,Paul,Jagger,49,Prison governor,"Swansea, Wales",Christmas Frangipane Tart,5,Savoury and Sweet Bouchées,IN
6,6,Tamal,Ray,29,Trainee anaesthetist,Manchester,Spiced Pear Frangipane Tart,7,Fennel and Rosemary Pulled Pork and Chicken and Coriander vol-au-vents,IN
6,6,Alvin,Magallanes,37,Nurse,"Bracknell, Berkshire",Plum Frangipane Tart,6,Smoked Salmon En Croûte and Vermouth Chicken à la King Vol-au-vents,OUT
6,6,Mat,Riley,37,Fire fighter,London,Piña Colada Frangipane Tart,1,His 'n' Hers Vol-au-vents,STAR BAKER
6,6,Dorret,Conway,53,Accountant,"Penwortham, Lancashire",NA,NA,NA,NA
6,6,Marie,Campbell,66,Retired,"Auchterarder, Perthshire",NA,NA,NA,NA
6,6,Sandy,Docherty,49,Child welfare officer,"Yeadon, West Yorkshire",NA,NA,NA,NA
6,6,Stu,Henshall,35,Professional musician,"Guildford, Surrey",NA,NA,NA,NA
6,6,Ugnė,Bubnaityte,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",NA,NA,NA,NA
6,7,Flora,Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross",Game Pie with Shallot and Apple Chutney,4,"Raspberry, Pomegranate and Champagne Charlotte Russe",IN
6,7,Ian,Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire",Roadkill Pie,5,Victoria's Crown Charlotte Russe,IN
6,7,Nadiya,Hussain,30,Full-time mother,Leeds / Luton,Aromatic Raised Game Pie,1,Mango and Raspberry Charlotte Russe,IN
6,7,Paul,Jagger,49,Prison governor,"Swansea, Wales",Not a Boaring Pie,2,Charlotte Rose,IN
6,7,Mat,Riley,37,Fire fighter,London,Raised Venison and Pigeon Pie,6,Strawberry Charlotte Russe,OUT
6,7,Tamal,Ray,29,Trainee anaesthetist,Manchester,Middle Eastern Game Pie,3,"Spiced Blackberry, Raspberry and Cardamom Charlotte Russe",STAR BAKER
6,7,Alvin,Magallanes,37,Nurse,"Bracknell, Berkshire",NA,NA,NA,NA
6,7,Dorret,Conway,53,Accountant,"Penwortham, Lancashire",NA,NA,NA,NA
6,7,Marie,Campbell,66,Retired,"Auchterarder, Perthshire",NA,NA,NA,NA
6,7,Sandy,Docherty,49,Child welfare officer,"Yeadon, West Yorkshire",NA,NA,NA,NA
6,7,Stu,Henshall,35,Professional musician,"Guildford, Surrey",NA,NA,NA,NA
6,7,Ugnė,Bubnaityte,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",NA,NA,NA,NA
6,8,Flora,Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross",Peach & Lemon Thyme and Smoked Almond & Butterscotch Cream Horns,3,Lime & Basil and Coconut & White Chocolate Religieuse à l'ancienne,IN
6,8,Ian,Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire",Mont Blanc & Black Forest Gâteau Horns,2,Nun with Hidden Passions,IN
6,8,Tamal,Ray,29,Trainee anaesthetist,Manchester,Lime & Mascarpone and Malt Cream Horns,4,Passionfruit & Mango and Pistachio & Raspberry Religieuse à l'ancienne,IN
6,8,Paul,Jagger,49,Prison governor,"Swansea, Wales",Café Tipple & Banana Crunch-away Horns,5,Religieuse à l'ancienne,OUT
6,8,Nadiya,Hussain,30,Full-time mother,Leeds / Luton,Rose Pistachio and Mocha Hazelnut Horns,1,Bubble Gum and Peppermint Cream Religieuse à l'ancienne,STAR BAKER
6,8,Alvin,Magallanes,37,Nurse,"Bracknell, Berkshire",NA,NA,NA,NA
6,8,Dorret,Conway,53,Accountant,"Penwortham, Lancashire",NA,NA,NA,NA
6,8,Marie,Campbell,66,Retired,"Auchterarder, Perthshire",NA,NA,NA,NA
6,8,Mat,Riley,37,Fire fighter,London,NA,NA,NA,NA
6,8,Sandy,Docherty,49,Child welfare officer,"Yeadon, West Yorkshire",NA,NA,NA,NA
6,8,Stu,Henshall,35,Professional musician,"Guildford, Surrey",NA,NA,NA,NA
6,8,Ugnė,Bubnaityte,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",NA,NA,NA,NA
6,9,Ian,Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire",Chocolate and Bay Tart,3,Chocolate Well,IN
6,9,Tamal,Ray,29,Trainee anaesthetist,Manchester,Chocolate New York Pie,2,Chocolate Bell Tower,IN
6,9,Flora,Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross",Passion Fruit and Chocolate Tart,1,Cocoa Carousel,OUT
6,9,Nadiya,Hussain,30,Full-time mother,Leeds / Luton,Peanut Salted Caramel and Chocolate Tart,4,Peacock in Nan's Door,STAR BAKER
6,9,Alvin,Magallanes,37,Nurse,"Bracknell, Berkshire",NA,NA,NA,NA
6,9,Dorret,Conway,53,Accountant,"Penwortham, Lancashire",NA,NA,NA,NA
6,9,Marie,Campbell,66,Retired,"Auchterarder, Perthshire",NA,NA,NA,NA
6,9,Mat,Riley,37,Fire fighter,London,NA,NA,NA,NA
6,9,Paul,Jagger,49,Prison governor,"Swansea, Wales",NA,NA,NA,NA
6,9,Sandy,Docherty,49,Child welfare officer,"Yeadon, West Yorkshire",NA,NA,NA,NA
6,9,Stu,Henshall,35,Professional musician,"Guildford, Surrey",NA,NA,NA,NA
6,9,Ugnė,Bubnaityte,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",NA,NA,NA,NA
6,10,Ian,Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire",Elderflower and Lemon & Spiced Buns,2,Colossal Curvy Carrot Cake,Runner-up
6,10,Tamal,Ray,29,Trainee anaesthetist,Manchester,Cinnamon and Apple & Toffee and Marmalade Iced Buns,3,Sticky Toffee Pudding Cake,Runner-up
6,10,Nadiya,Hussain,30,Full-time mother,Leeds / Luton,Cardamom and Almond Buns & Nutmeg and Sour Cherry Fingers,1,My Big Fat British Wedding Cake,WINNER
6,10,Alvin,Magallanes,37,Nurse,"Bracknell, Berkshire",NA,NA,NA,NA
6,10,Dorret,Conway,53,Accountant,"Penwortham, Lancashire",NA,NA,NA,NA
6,10,Flora,Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross",NA,NA,NA,NA
6,10,Marie,Campbell,66,Retired,"Auchterarder, Perthshire",NA,NA,NA,NA
6,10,Mat,Riley,37,Fire fighter,London,NA,NA,NA,NA
6,10,Paul,Jagger,49,Prison governor,"Swansea, Wales",NA,NA,NA,NA
6,10,Sandy,Docherty,49,Child welfare officer,"Yeadon, West Yorkshire",NA,NA,NA,NA
6,10,Stu,Henshall,35,Professional musician,"Guildford, Surrey",NA,NA,NA,NA
6,10,Ugnė,Bubnaityte,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",NA,NA,NA,NA
7,1,Andrew,Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",Lemon and Rosemary Drizzle Cake,12,'Ultimate Indulgence' Mirror Glaze Cake,IN
7,1,Benjamina,Ebuehi,23,Teaching assistant,South London,"Pistachio, Cardamom and Lemon Drizzle Cake",6,White Chocolate Mirror Glaze with Salted Praline Buttercream,IN
7,1,Candice,Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire",Raspberry and Rhubarb Drizzle Custard Bundt Cake,5,"Mirror Mirror On The Wall, Who Is The Shiniest Cake Of Them All?",IN
7,1,Kate,Barmby,37,Nurse,"Brooke, Norfolk",Berry Best Apple and Bramble Drizzle Cake,4,One Swallow Does Not Make A Summer Cake,IN
7,1,Louise,Williams,46,Hairdresser,Cardiff,Orange Liqueur and Lemonade Drizzle Cake,9,White Chocolate Trifle Mirror Glaze Cake,IN
7,1,Michael,Georgiou,20,Student,Durham,"Lime, Ginger and Honey Drizzle Cake",3,Matcha Tea Chocolate Mirror Glaze,IN
7,1,Rav,Bansal,28,Student support,Erith,Ginger Spice Yuzu Drizzle Cake,8,Colombian Mocha Mirror Glaze Cake,IN
7,1,Selasi,Gbormittah,30,Client service associate,London,Citrus and Spice Drizzle Cake,1,"Raspberry, Sloe and White Chocolate Mirror Glaze Cake",IN
7,1,Tom,Gilliford,26,Project engagement manager,Rochdale,G&T Drizzle Cake,2,Black Forest Broken Mirror,IN
7,1,Val,Stones,66,"Semi-retired, Substitute teacher",Yeovil,Mum's Orange and Lemon Drizzle,10,Chocolate Sponge with Four Fruit Frosting,IN
7,1,Lee,Banfield,67,Pastor,Bolton,St. Clements Orange and Lemon Drizzle Cake,11,Strawberry Surprise Mirror Cake,OUT
7,1,Jane,Beedle,61,Garden designer,Beckenham,Lemon and Poppy Seed Drizzle Cake,7,Chocolate Orange Mirror Cake,STAR BAKER
7,2,Andrew,Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",Beehive Biscuits,4,Punting in Cambridge,IN
7,2,Benjamina,Ebuehi,23,Teaching assistant,South London,Bouquet Biscuits,3,"New York, New York",IN
7,2,Jane,Beedle,61,Garden designer,Beckenham,Flower Pot Iced Biscuits,2,Hastings Old Town Fishing Net Shops and Boat,IN
7,2,Kate,Barmby,37,Nurse,"Brooke, Norfolk","""A Biscuit for the Broads""",1,"""I Promise I will do my best""",IN
7,2,Michael,Georgiou,20,Student,Durham,"Malt, Chocolate and Orange Iced ""Beer"" Biscuits",9,Trip to See Santa in Lapland,IN
7,2,Rav,Bansal,28,Student support,Erith,Union Jack Bunting Biscuits,6,Gingerbread Christmas Fairground,IN
7,2,Selasi,Gbormittah,30,Client service associate,London,"""Wheelie Hot Iced Biscuits""",11,Stained Glass Window Gingerbread Church,IN
7,2,Tom,Gilliford,26,Project engagement manager,Rochdale,Chai Frappelatteccino Biscuits,7,Tom and Pod's Near Death Experience,IN
7,2,Val,Stones,66,"Semi-retired, Substitute teacher",Yeovil,Sunday Treat Iced Ice Cream Cone Biscuits,5,From Holland to New York via Yorkshire,IN
7,2,Louise,Williams,46,Hairdresser,Cardiff,Baa Bara Brith Biscuits,10,Gingerbread Wedding,OUT
7,2,Candice,Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire","Salted Caramel, Chocolate Iced Shiny Hearts",8,Gingerbread Pub with Sticky Ginger Carpet,STAR BAKER
7,2,Lee,Banfield,67,Pastor,Bolton,NA,NA,NA,NA
7,3,Andrew,Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",Chocolate Barmbrack Bread,2,Braided Harvest Bread Basket,IN
7,3,Benjamina,Ebuehi,23,Teaching assistant,South London,"Chocolate, Tahini and Almond Babka",6,Braided Bread Heart,IN
7,3,Candice,Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire","Chocolate, Salted Caramel & Pecan Brittle Brioche Loaf",3,Italian Light and Dark Rye Twist,IN
7,3,Jane,Beedle,61,Garden designer,Beckenham,Chocolate and Cranberry Couronne,9,Chorizo and Chilli Flower with Parmesan and Pesto Centre,IN
7,3,Kate,Barmby,37,Nurse,"Brooke, Norfolk",Cobbled Loaf,8,The Corn Maiden,IN
7,3,Rav,Bansal,28,Student support,Erith,"Chocolate, Cardamom and Hazelnut Loaf",10,Three Tier Diwali Bread Centrepiece,IN
7,3,Selasi,Gbormittah,30,Client service associate,London,"Chocolate, Orange and Cinnamon Bread",5,Bedouin Escape Tear and Share Bread,IN
7,3,Val,Stones,66,"Semi-retired, Substitute teacher",Yeovil,Double Chocolate Cinnamon Twist Loaf,1,"""And They All Went Into The Ark To Get Out Of The Rain""",IN
7,3,Michael,Georgiou,20,Student,Durham,Chocolate and Chilli Swirl Plait,7,Cypriot Dove and Olive Branch Plaited Loaf with Houmous,OUT
7,3,Tom,Gilliford,26,Project engagement manager,Rochdale,Chocolate Orange and Chilli Swirl Bread,4,Jörmungandr and Mjölnir,STAR BAKER
7,3,Lee,Banfield,67,Pastor,Bolton,NA,NA,NA,NA
7,3,Louise,Williams,46,Hairdresser,Cardiff,NA,NA,NA,NA
7,4,Andrew,Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",Yorkshire 'Tapas' Puddings,4,Churros Window Box,IN
7,4,Candice,Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire",Yorkshire Wellingtons,2,Two-Way Peanut Butter Churros,IN
7,4,Jane,Beedle,61,Garden designer,Beckenham,Meat and Two Veg Yorkshires,3,Pistachio and White Chocolate Churros,IN
7,4,Rav,Bansal,28,Student support,Erith,Thai Tofu Panang Yorkshires,9,Three Dip Matcha Pistachio Churros,IN
7,4,Selasi,Gbormittah,30,Client service associate,London,Perfect Sunday Roast Accompaniment,8,Lemon and Anise Churros,IN
7,4,Tom,Gilliford,26,Project engagement manager,Rochdale,West Yorkshire Fusion Puddings,5,Fennel Churros Snake In The Grass,IN
7,4,Val,Stones,66,"Semi-retired, Substitute teacher",Yeovil,Mum's Chilli Yorkshire Puddings,6,Orange Chocolate Churros,IN
7,4,Kate,Barmby,37,Nurse,"Brooke, Norfolk",Christmas Dinner Compromise,7,Hot Cross Bunny Churros,OUT
7,4,Benjamina,Ebuehi,23,Teaching assistant,South London,"Red Onion Chutney, Brie and Bacon Yorkshire Puddings",1,Tropical Churros,STAR BAKER
7,4,Lee,Banfield,67,Pastor,Bolton,NA,NA,NA,NA
7,4,Louise,Williams,46,Hairdresser,Cardiff,NA,NA,NA,NA
7,4,Michael,Georgiou,20,Student,Durham,NA,NA,NA,NA
7,5,Andrew,Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",Mum and Dad's Breakfast Pastries,6,Spicy Chorizo Squash Parcels and Baklava Bites,IN
7,5,Benjamina,Ebuehi,23,Teaching assistant,South London,'Good Morning America' Swirls and Peanut Butter and Banana Pinwheels,5,Plantain and Spinach Samosas and Chai Pear Cups,IN
7,5,Jane,Beedle,61,Garden designer,Beckenham,"Orange Pain au Raisins, Raspberry, Chocolate and Almond Danish",1,"Roquefort, Fig and Walnut Parcels and Cherry and Chocolate Cones",IN
7,5,Rav,Bansal,28,Student support,Erith,"Cinnamon Swirls and Pecan, Walnut and Maple Plaits",8,Chinese Style Prawn Filo Tartlets and Spiced White Chocolate and Hazelnut Samosas,IN
7,5,Selasi,Gbormittah,30,Client service associate,London,"Rhubarb, Mango and Ginger Plait, and Pineapple and Coconut Pinwheels",3,"Parma Ham, Asparagus and Cheese Filo Cigars and Coffee Cream Filo Cups",IN
7,5,Tom,Gilliford,26,Project engagement manager,Rochdale,Mega Breakfast Bonanzas; Granola Spirals and Wheat Foldovers,4,Yin and Yang Amuse-bouche,IN
7,5,Val,Stones,66,"Semi-retired, Substitute teacher",Yeovil,"Pecan and Maple Syrup Pinwheels and Apple, Sultana and Cinnamon Swirls",7,"Caramelised Red Onion, Goats Cheese Tartlets and Mincemeat and Apple Spiced Parcels",OUT
7,5,Candice,Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire","Danish Pastry Croque Monsieur Kites and Cinnamon Apple, Vanilla Crème Rose Danish",2,"Sausage, Black Pudding and Apple Rounds and Banoffee Whiskey Cups",STAR BAKER
7,5,Kate,Barmby,37,Nurse,"Brooke, Norfolk",NA,NA,NA,NA
7,5,Lee,Banfield,67,Pastor,Bolton,NA,NA,NA,NA
7,5,Louise,Williams,46,Hairdresser,Cardiff,NA,NA,NA,NA
7,5,Michael,Georgiou,20,Student,Durham,NA,NA,NA,NA
7,6,Andrew,Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",Tangy Lime and Ginger Meringue Pie,6,Spring Elderflower Trio,IN
7,6,Benjamina,Ebuehi,23,Teaching assistant,South London,Grapefruit and Ginger Meringue Pie,2,Floral Tea Cake,IN
7,6,Candice,Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire","Lime, Coconut and Lemongrass Sugar Meringue Pie",5,Four Seasons Cake,IN
7,6,Jane,Beedle,61,Garden designer,Beckenham,Lime and Coconut Meringue Pie,4,Three Tier Orange Cake with a Floral Chocolate Collar,IN
7,6,Selasi,Gbormittah,30,Client service associate,London,"Grapefruit, Orange and Mint Meringue Pie",7,Three Tiered Ombré Floral Cake,IN
7,6,Rav,Bansal,28,Student support,Erith,Mandarin Margarita Meringue Pie,3,Blossom Cake,OUT
7,6,Tom,Gilliford,26,Project engagement manager,Rochdale,Blood Orange Halloween Pumpkin Pie,1,Floral Tea Cake,STAR BAKER
7,6,Kate,Barmby,37,Nurse,"Brooke, Norfolk",NA,NA,NA,NA
7,6,Lee,Banfield,67,Pastor,Bolton,NA,NA,NA,NA
7,6,Louise,Williams,46,Hairdresser,Cardiff,NA,NA,NA,NA
7,6,Michael,Georgiou,20,Student,Durham,NA,NA,NA,NA
7,6,Val,Stones,66,"Semi-retired, Substitute teacher",Yeovil,NA,NA,NA,NA
7,7,Benjamina,Ebuehi,23,Teaching assistant,South London,Piña Colada Roulade,3,Apple Crumble Mousse Cake and Chocolate Coffee Mousse Cake,IN
7,7,Candice,Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire",Crowd Pleaser Roulade,2,Blackberry and Raspberry Bubbles and After Dinner Mousse,IN
7,7,Jane,Beedle,61,Garden designer,Beckenham,Chocolate and Hazelnut Roulade,4,"Chocolate, Coffee, and Vanilla Joconde Cakes and Blackcurrant and Vanilla Ombre Mousses",IN
7,7,Selasi,Gbormittah,30,Client service associate,London,Summer Picnic Roulade,6,"Lemon, Strawberry and Passionfruit and Chocolate and Mint Mini Mousse Cakes",IN
7,7,Tom,Gilliford,26,Project engagement manager,Rochdale,Millionaire's Roulade,5,Hipster Picnic,OUT
7,7,Andrew,Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",Tropical Holiday Roulade,1,Childhood Ice Cream Mousse Cakes,STAR BAKER
7,7,Kate,Barmby,37,Nurse,"Brooke, Norfolk",NA,NA,NA,NA
7,7,Lee,Banfield,67,Pastor,Bolton,NA,NA,NA,NA
7,7,Louise,Williams,46,Hairdresser,Cardiff,NA,NA,NA,NA
7,7,Michael,Georgiou,20,Student,Durham,NA,NA,NA,NA
7,7,Rav,Bansal,28,Student support,Erith,NA,NA,NA,NA
7,7,Val,Stones,66,"Semi-retired, Substitute teacher",Yeovil,NA,NA,NA,NA
7,8,Andrew,Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",Da Vinci Inspired Geared Pies,2,Jousting Knights Marchpane,IN
7,8,Jane,Beedle,61,Garden designer,Beckenham,Tudor Rose Pies,5,Swans,IN
7,8,Selasi,Gbormittah,30,Client service associate,London,Bouquet of Flowers,3,Fruity Tudor Marchpane,IN
7,8,Benjamina,Ebuehi,23,Teaching assistant,South London,Mexican Adventure,4,Tudor Garden,OUT
7,8,Candice,Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire",Cheesy Cheeky Fish Pies,1,Peacock,STAR BAKER
7,8,Kate,Barmby,37,Nurse,"Brooke, Norfolk",NA,NA,NA,NA
7,8,Lee,Banfield,67,Pastor,Bolton,NA,NA,NA,NA
7,8,Louise,Williams,46,Hairdresser,Cardiff,NA,NA,NA,NA
7,8,Michael,Georgiou,20,Student,Durham,NA,NA,NA,NA
7,8,Rav,Bansal,28,Student support,Erith,NA,NA,NA,NA
7,8,Tom,Gilliford,26,Project engagement manager,Rochdale,NA,NA,NA,NA
7,8,Val,Stones,66,"Semi-retired, Substitute teacher",Yeovil,NA,NA,NA,NA
